,4. close
2021-01-01,17.25
2021-01-02,17.25
2021-01-03,17.25
2021-01-04,17.25
2021-01-05,17.37
2021-01-06,18.36
2021-01-07,18.08
2021-01-08,17.69
2021-01-09,17.69
2021-01-10,19.94
2021-01-11,19.94
2021-01-12,19.95
2021-01-13,31.4
2021-01-14,39.91
2021-01-15,35.5
2021-01-16,35.5
2021-01-17,39.36
2021-01-18,39.36
2021-01-19,39.36
2021-01-20,39.12
2021-01-21,43.03
2021-01-22,65.01
2021-01-23,65.01
2021-01-24,76.79
2021-01-25,76.79
2021-01-26,147.98
2021-01-27,347.51
2021-01-28,193.6
2021-01-29,325.0
2021-01-30,325.0
2021-01-31,225.0
2021-02-01,225.0
2021-02-02,90.0
2021-02-03,92.41
2021-02-04,53.5
2021-02-05,63.77
2021-02-06,63.77
2021-02-07,60.0
2021-02-08,60.0
2021-02-09,50.31
2021-02-10,51.2
2021-02-11,51.1
2021-02-12,52.4
2021-02-13,52.4
2021-02-14,49.51
2021-02-15,49.51
2021-02-16,49.51
2021-02-17,45.94
2021-02-18,40.69
2021-02-19,40.59
2021-02-20,40.59
2021-02-21,46.0
2021-02-22,46.0
2021-02-23,44.97
2021-02-24,91.71
2021-02-25,108.73
2021-02-26,101.74
2021-02-27,101.74
2021-02-28,120.4
2021-03-01,120.4
2021-03-02,118.18
2021-03-03,124.18
2021-03-04,132.35
2021-03-05,137.74
