,Symbol,Name,source,id
0,MMM,3M Company,s_p,MMMs_p
1,AOS,A.O. Smith Corp,s_p,AOSs_p
2,ABT,Abbott Laboratories,s_p,ABTs_p
3,ABBV,AbbVie Inc.,s_p,ABBVs_p
4,ABMD,Abiomed,s_p,ABMDs_p
5,ACN,Accenture,s_p,ACNs_p
6,ATVI,Activision Blizzard,s_p,ATVIs_p
7,ADBE,Adobe Inc.,s_p,ADBEs_p
8,AAP,Advance Auto Parts,s_p,AAPs_p
9,AMD,Advanced Micro Devices,s_p,AMDs_p
10,AES,AES Corp,s_p,AESs_p
11,AFL,Aflac,s_p,AFLs_p
12,A,Agilent Technologies,s_p,As_p
13,APD,Air Products & Chemicals,s_p,APDs_p
14,AKAM,Akamai Technologies,s_p,AKAMs_p
15,ALK,Alaska Air Group,s_p,ALKs_p
16,ALB,Albemarle Corporation,s_p,ALBs_p
17,ARE,Alexandria Real Estate Equities,s_p,AREs_p
18,ALXN,Alexion Pharmaceuticals,s_p,ALXNs_p
19,ALGN,Align Technology,s_p,ALGNs_p
20,ALLE,Allegion,s_p,ALLEs_p
21,LNT,Alliant Energy,s_p,LNTs_p
22,ALL,Allstate Corp,s_p,ALLs_p
23,GOOGL,Alphabet Inc. (Class A),s_p,GOOGLs_p
24,GOOG,Alphabet Inc. (Class C),s_p,GOOGs_p
25,MO,Altria Group Inc,s_p,MOs_p
26,AMZN,Amazon.com Inc.,s_p,AMZNs_p
27,AMCR,Amcor,s_p,AMCRs_p
28,AEE,Ameren Corp,s_p,AEEs_p
29,AAL,American Airlines Group,s_p,AALs_p
30,AEP,American Electric Power,s_p,AEPs_p
31,AXP,American Express,s_p,AXPs_p
32,AIG,American International Group,s_p,AIGs_p
33,AMT,American Tower Corp.,s_p,AMTs_p
34,AWK,American Water Works,s_p,AWKs_p
35,AMP,Ameriprise Financial,s_p,AMPs_p
36,ABC,AmerisourceBergen,s_p,ABCs_p
37,AME,Ametek,s_p,AMEs_p
38,AMGN,Amgen Inc.,s_p,AMGNs_p
39,APH,Amphenol Corp,s_p,APHs_p
40,ADI,Analog Devices Inc.,s_p,ADIs_p
41,ANSS,ANSYS Inc.,s_p,ANSSs_p
42,ANTM,Anthem,s_p,ANTMs_p
43,AON,Aon plc,s_p,AONs_p
44,APA,Apache Corporation,s_p,APAs_p
45,AAPL,Apple Inc.,s_p,AAPLs_p
46,AMAT,Applied Materials Inc.,s_p,AMATs_p
47,APTV,Aptiv PLC,s_p,APTVs_p
48,ADM,Archer-Daniels-Midland Co,s_p,ADMs_p
49,ANET,Arista Networks,s_p,ANETs_p
50,AJG,Arthur J. Gallagher & Co.,s_p,AJGs_p
51,AIZ,Assurant,s_p,AIZs_p
52,T,AT&T Inc.,s_p,Ts_p
53,ATO,Atmos Energy,s_p,ATOs_p
54,ADSK,Autodesk Inc.,s_p,ADSKs_p
55,ADP,Automatic Data Processing,s_p,ADPs_p
56,AZO,AutoZone Inc,s_p,AZOs_p
57,AVB,AvalonBay Communities,s_p,AVBs_p
58,AVY,Avery Dennison Corp,s_p,AVYs_p
59,BKR,Baker Hughes Co,s_p,BKRs_p
60,BLL,Ball Corp,s_p,BLLs_p
61,BAC,Bank of America Corp,s_p,BACs_p
62,BAX,Baxter International Inc.,s_p,BAXs_p
63,BDX,Becton Dickinson,s_p,BDXs_p
64,BRK.B,Berkshire Hathaway,s_p,BRK.Bs_p
65,BBY,Best Buy Co. Inc.,s_p,BBYs_p
66,BIO,Bio-Rad Laboratories,s_p,BIOs_p
67,BIIB,Biogen Inc.,s_p,BIIBs_p
68,BLK,BlackRock,s_p,BLKs_p
