date,weighted_mentions,mentions,followers
2021-01-01,352173.0,2.0,1720596852.0
2021-01-02,6683074.0,1.0,1633287667.0
2021-01-03,437413.0,2.0,1043636145.0
2021-01-04,524356.0,2.0,1760137154.0
2021-01-05,680911.0,2.0,2277718783.0
2021-01-06,1629658.0,1.0,1621526633.0
2021-01-07,4663394.0,3.0,2278926705.0
2021-01-08,118553.0,2.0,2059609065.0
2021-01-09,182608.0,3.0,2015345671.0
2021-01-10,466073.0,5.0,1005416792.0
2021-01-11,337798.0,3.0,1849939777.0
2021-01-12,9196677.0,7.0,2849609935.0
2021-01-13,4175484.0,10.0,3282917345.0
2021-01-14,6939081.0,8.0,2891851726.0
2021-01-15,109200.0,1.0,2544727780.0
2021-01-16,4666126.0,2.0,2651957715.0
2021-01-17,445482.0,3.0,2061822980.0
2021-01-18,59012.0,1.0,2530165460.0
2021-01-19,1305311.0,3.0,1866824935.0
2021-01-20,1802333.0,6.0,2829038215.0
2021-01-21,1646795.0,6.0,2596090574.0
2021-01-22,2590593.0,21.0,3013071604.0
2021-01-23,728799.0,5.0,2830607445.0
2021-01-24,732340.0,12.0,1830970013.0
2021-01-25,9580591.0,62.0,4704374689.0
2021-01-26,10202369.0,80.0,2203010325.0
2021-01-27,38880181.0,153.0,2348106829.0
2021-01-28,122681748.0,216.0,4617592064.0
2021-01-29,64340202.0,165.0,2858857552.0
2021-01-30,35378823.0,50.0,1906062712.0
2021-01-31,14065783.0,34.0,2349835636.0
2021-02-01,40878794.0,92.0,2693000907.0
2021-02-02,28776002.0,114.0,3451893148.0
2021-02-03,21424463.0,62.0,3518700013.0
2021-02-04,11736929.0,51.0,4591336399.0
2021-02-05,13449646.0,38.0,3232552379.0
2021-02-06,2988301.0,13.0,3848868668.0
2021-02-07,3336485.0,18.0,5859915869.0
2021-02-08,2752707.0,12.0,5843792368.0
2021-02-09,4807524.0,25.0,2944765348.0
2021-02-10,4890971.0,32.0,4294584735.0
2021-02-11,7044486.0,25.0,4654186595.0
2021-02-12,3925825.0,22.0,6850332852.0
2021-02-13,1712201.0,9.0,3577858028.0
2021-02-14,1261407.0,6.0,7865921263.0
2021-02-15,1410529.0,11.0,5825881513.0
2021-02-16,9950169.0,20.0,7585404119.0
2021-02-17,21952104.0,52.0,6079679693.0
2021-02-18,105108676.0,149.0,8549367666.0
2021-02-19,16677730.0,51.0,8495130943.0
2021-02-20,3435336.0,10.0,6395793750.0
2021-02-21,22028614.0,13.0,6709939991.0
2021-02-22,10541322.0,19.0,8933873152.0
2021-02-23,12210456.0,28.0,10590423835.0
2021-02-24,46661081.0,134.0,13003522340.0
2021-02-25,132222833.0,179.0,11611273256.0
2021-02-26,27577634.0,69.0,13164100740.0
2021-02-27,13692973.0,25.0,15584639198.0
2021-02-28,109032488.0,19.0,19180205891.0
2021-03-01,119273391.0,31.0,34468569707.0
2021-03-02,48280342.0,48.0,34276587774.0
2021-03-03,89006064.0,40.0,34686577620.0
2021-03-04,273800779.0,57.0,57423221299.0
2021-03-05,0.0,0.0,8127690634.0
